AUTHOR,GENRE,HEIGHT,ID,ISBORROWED,PUBLISHER,SUBGENRE,TITLE
"Goswami, Jaideva",tech,228,1,false,Wiley,signal_processing,Fundamentals of Wavelets
"Foreman, John",tech,235,2,false,Wiley,data_science,Data Smart
"Hawking, Stephen",tech,197,3,false,Penguin,mathematics,God Created the Integers
"Dubner, Stephen",science,179,4,false,HarperCollins,economics,Superfreakonomics
"Said, Edward",nonfiction,197,5,false,Penguin,history,Orientalism
"Vapnik, Vladimir",tech,230,6,false,Springer,data_science,"Nature of Statistical Learning Theory, The"
"Menon, V P",nonfiction,217,7,false,Orient Blackswan,history,Integration of the Indian States
"Mlodinow, Leonard",science,197,8,false,Penguin,mathematics,"Drunkard's Walk, The"
"Shih, Frank",tech,241,9,false,CRC,signal_processing,Image Processing & Mathematical Morphology
"Konnikova, Maria",nonfiction,240,10,false,Penguin,psychology,How to Think Like Sherlock Holmes
Sebastian Gutierrez,tech,230,11,false,Apress,data_science,Data Scientists at Work
"Vonnegut, Kurt",fiction,198,12,false,Random House,classic,Slaughterhouse Five
"Villani, Cedric",science,234,13,false,Bodley Head,mathematics,Birth of a Theorem
"Sussman, Gerald",tech,240,14,false,MIT Press,computer_science,Structure & Interpretation of Computer Programs
"Eraly, Abraham",nonfiction,238,15,false,Penguin,history,"Age of Wrath, The"
"Kafka, Frank",fiction,198,16,false,Random House,classic,"Trial, The"
"Pratt, John",tech,236,17,false,MIT Press,data_science,Statistical Decision Theory'
"Nisbet, Robert",tech,242,18,true,Apress,data_science,Data Mining Handbook
"Wells, H. G.",fiction,180,19,false,Penguin,novel,"New Machiavelli, The"
"Heisenberg, Werner",philosophy,197,20,false,Penguin,science,Physics & Philosophy
"Oram, Andy",tech,232,21,false,O'Reilly,computer_science,Making Software
"Tao, Terence",tech,248,22,false,HBA,mathematics,"Analysis, Vol I"
"Conway, Drew",tech,233,23,false,O'Reilly,data_science,Machine Learning for Hackers
"Silver, Nate",tech,233,24,false,Penguin,data_science,"Signal and the Noise, The"
